step, arrivals_sum, infringement_sum, reward 
165502,30, 3782, -257373.68554158974
166002,30, 3796, -399675.0791378692
166502,30, 3796, -126274.00906505808
167002,30, 3796, -111599.14103682339
167502,31, 3799, -169628.49097741116
168002,32, 3799, -118811.5103456825
168502,33, 3827, -699960.1088055447
169002,33, 3836, -306180.134341914
169502,33, 3847, -350420.000751704
170002,34, 3847, -109599.51807172596
170502,35, 3847, -120227.36467911303
171002,35, 3847, -126549.39346789382
171502,35, 3848, -147986.41011564434
172002,37, 3849, -180666.1447035593
172502,37, 3858, -311743.99312835187
173002,39, 3864, -265972.14378371835
173502,40, 3864, -134267.5830604881
174002,40, 3864, -128123.28711558878
174502,41, 3867, -178813.6520474255
175002,43, 3867, -104884.94967217743
175502,46, 3867, -102493.05191976577
176002,47, 3879, -391862.38138629124
176502,47, 3879, -116364.50999067724
177002,48, 3879, -119739.87255243072
177502,48, 3879, -136235.26890939847
178002,49, 3879, -132325.424526304
178502,49, 3879, -108671.73288074136
179002,49, 3879, -127315.53113289177
179502,49, 3879, -102246.30047386885
180002,49, 3879, -107494.18634982407
180502,50, 3885, -245732.6136044655
181002,51, 3885, -109839.72330351174
181502,52, 3885, -133495.74255815148
182002,53, 3885, -119907.22103053331
182502,53, 3885, -109212.270781748
183002,54, 3885, -116535.84250956029
183502,55, 3885, -104081.70113977976
184002,56, 3885, -138492.56093260832
184502,58, 3885, -95695.46536459029
185002,58, 3885, -97667.95424902812
185502,58, 3885, -110289.43263782561
186002,59, 3885, -127932.04991043766
186502,59, 3885, -102294.70188956335
187002,60, 3885, -135978.85097053135
187502,61, 3885, -100287.19651684351
188002,62, 3885, -124497.47766327113
188502,64, 3885, -111489.72037746245
189002,64, 3885, -105014.77541455999
189502,65, 3885, -106288.57632716373
190002,66, 3885, -110541.2807187736
190502,69, 3885, -107945.10268147476
191002,72, 3885, -106420.1162089482
191502,72, 3886, -119855.88939071307
192002,73, 3886, -101337.98317438399
192502,74, 3886, -121364.58014501631
193002,75, 3886, -102469.0836037863
193502,78, 3886, -136340.70162457228
194002,79, 3886, -99688.78737084381
194502,79, 3886, -109120.2596530132
195002,81, 3886, -112018.72476350144
195502,83, 3886, -91645.6721079452
196002,85, 3886, -98255.14996539615
196502,86, 3886, -91589.29613436107
197002,87, 3886, -96912.11635330634
197502,87, 3886, -128440.6857585311
198002,89, 3887, -178575.5912402682
198502,90, 3888, -136858.17545980588
199002,92, 3890, -150215.76942100003
