step, arrivals_sum, infringement_sum 
2,0, 1
502,0, 9
1002,0, 10
1502,0, 12
2002,0, 16
2502,0, 20
3002,0, 27
3502,0, 31
4002,0, 34
4502,0, 36
5002,0, 41
5502,0, 46
6002,0, 52
6502,0, 54
7002,2, 55
7502,2, 61
8002,2, 65
8502,2, 70
9002,3, 74
9502,3, 81
10002,3, 86
10502,3, 89
11002,3, 92
11502,3, 102
12002,4, 117
12502,4, 141
13002,4, 164
13502,4, 188
14002,4, 212
14502,7, 231
15002,8, 249
15502,8, 266
16002,8, 281
16502,8, 299
17002,8, 313
17502,8, 328
18002,9, 333
18502,9, 350
19002,10, 357
19502,10, 368
20002,11, 376
20502,11, 383
21002,13, 391
21502,15, 402
22002,15, 409
22502,15, 418
23002,16, 424
23502,16, 431
24002,16, 440
24502,18, 449
25002,19, 456
25502,20, 466
26002,23, 474
26502,23, 484
27002,23, 492
27502,27, 501
28002,27, 513
28502,28, 521
29002,28, 532
29502,29, 546
30002,29, 561
30502,30, 574
31002,30, 590
31502,30, 603
32002,31, 620
32502,33, 637
33002,35, 653
33502,37, 668
34002,37, 683
34502,39, 699
35002,40, 716
35502,41, 734
36002,42, 749
36502,42, 764
37002,43, 777
37502,45, 788
38002,45, 801
38502,45, 811
39002,47, 816
39502,47, 824
40002,47, 827
40502,47, 831
41002,48, 836
41502,49, 841
42002,51, 845
42502,52, 847
43002,54, 849
43502,56, 852
44002,56, 855
44502,58, 855
45002,59, 860
45502,60, 860
46002,60, 860
46502,60, 863
47002,60, 865
47502,60, 868
48002,60, 873
48502,60, 878
49002,60, 885
49502,61, 888
50002,62, 895
50502,64, 902
51002,65, 912
51502,67, 919
52002,70, 919
52502,75, 920
53002,76, 920
53502,76, 923
54002,76, 924
54502,79, 924
55002,82, 924
55502,83, 925
56002,84, 926
56502,84, 928
57002,88, 930
57502,88, 930
58002,91, 930
58502,92, 930
59002,93, 930
59502,94, 931
60002,96, 931
60502,99, 931
61002,101, 932
61502,105, 933
62002,107, 933
62502,108, 933
63002,109, 934
63502,111, 934
64002,111, 935
64502,115, 935
65002,120, 936
65502,122, 936
66002,128, 936
66502,129, 936
67002,133, 937
67502,134, 939
68002,136, 939
68502,140, 939
69002,143, 939
69502,148, 941
70002,152, 941
70502,158, 942
71002,167, 942
71502,172, 943
72002,179, 943
72502,187, 943
73002,195, 944
73502,202, 948
74002,214, 948
74502,217, 948
75002,228, 949
75502,234, 949
76002,238, 949
76502,246, 949
77002,252, 949
77502,258, 949
78002,265, 950
78502,268, 950
79002,276, 950
79502,280, 950
80002,285, 950
80502,286, 950
81002,286, 950
81502,286, 950
82002,287, 950
82502,287, 952
83002,287, 953
83502,289, 954
84002,300, 954
84502,303, 954
85002,303, 954
85502,315, 954
86002,323, 954
86502,330, 957
87002,335, 958
87502,342, 962
88002,349, 964
88502,365, 968
89002,377, 975
89502,388, 979
90002,397, 979
90502,406, 979
91002,412, 981
