step, arrivals_sum, infringement_sum 
188002,1568, 1231
188502,1576, 1232
189002,1582, 1234
189502,1594, 1234
190002,1603, 1236
190502,1619, 1238
191002,1627, 1240
191502,1644, 1240
192002,1656, 1241
192502,1670, 1241
193002,1685, 1243
193502,1694, 1243
194002,1707, 1244
194502,1720, 1246
195002,1734, 1248
195502,1749, 1250
196002,1761, 1251
196502,1768, 1254
197002,1781, 1256
197502,1800, 1257
198002,1816, 1257
198502,1832, 1259
199002,1849, 1259
199502,1873, 1263
200002,1890, 1267
200502,1908, 1272
201002,1928, 1273
201502,1947, 1273
202002,1965, 1273
202502,1986, 1273
203002,2008, 1276
203502,2030, 1279
204002,2049, 1280
204502,2064, 1281
205002,2077, 1285
205502,2101, 1289
206002,2123, 1292
206502,2137, 1295
207002,2150, 1296
207502,2166, 1298
208002,2187, 1300
208502,2206, 1301
209002,2225, 1302
209502,2245, 1302
210002,2266, 1305
210502,2286, 1305
211002,2309, 1306
211502,2332, 1306
212002,2347, 1308
212502,2373, 1309
213002,2391, 1310
213502,2414, 1311
214002,2433, 1313
214502,2449, 1314
215002,2471, 1315
215502,2492, 1316
216002,2513, 1317
216502,2532, 1320
217002,2551, 1323
217502,2567, 1324
218002,2587, 1326
218502,2600, 1328
219002,2618, 1329
219502,2631, 1332
220002,2657, 1337
220502,2681, 1338
221002,2703, 1341
221502,2726, 1342
222002,2740, 1347
222502,2759, 1351
223002,2768, 1357
223502,2782, 1363
224002,2799, 1368
224502,2814, 1370
225002,2833, 1374
225502,2854, 1378
226002,2876, 1379
226502,2893, 1381
227002,2911, 1383
227502,2930, 1385
228002,2949, 1387
228502,2963, 1390
229002,2982, 1391
229502,2999, 1393
230002,3021, 1394
230502,3040, 1394
231002,3061, 1394
231502,3083, 1394
232002,3106, 1394
232502,3127, 1395
233002,3145, 1401
233502,3169, 1401
234002,3183, 1403
234502,3199, 1405
235002,3219, 1406
235502,3241, 1407
236002,3258, 1408
236502,3272, 1411
237002,3290, 1411
237502,3314, 1415
238002,3333, 1418
238502,3350, 1422
239002,3368, 1423
239502,3385, 1425
240002,3407, 1427
240502,3426, 1429
241002,3442, 1430
241502,3458, 1431
242002,3480, 1433
242502,3494, 1436
243002,3518, 1439
243502,3537, 1441
244002,3556, 1444
244502,3571, 1448
245002,3582, 1449
245502,3596, 1451
246002,3619, 1452
246502,3641, 1455
247002,3659, 1457
247502,3676, 1458
248002,3695, 1459
248502,3713, 1461
249002,3730, 1462
249502,3747, 1464
250002,3771, 1468
250502,3790, 1471
251002,3812, 1472
251502,3825, 1477
252002,3843, 1480
252502,3873, 1480
253002,3899, 1480
253502,3919, 1484
254002,3941, 1488
254502,3957, 1489
255002,3983, 1490
255502,4014, 1492
256002,4039, 1494
256502,4068, 1494
257002,4091, 1497
257502,4107, 1499
258002,4132, 1502
258502,4154, 1506
259002,4174, 1508
259502,4195, 1510
260002,4213, 1512
260502,4234, 1514
261002,4256, 1515
261502,4279, 1515
262002,4295, 1515
262502,4310, 1517
263002,4324, 1519
263502,4343, 1522
264002,4361, 1525
264502,4377, 1527
265002,4400, 1528
265502,4428, 1529
266002,4454, 1531
266502,4482, 1532
267002,4503, 1533
267502,4528, 1533
268002,4549, 1534
268502,4574, 1534
269002,4598, 1534
269502,4617, 1537
270002,4633, 1541
270502,4655, 1544
271002,4680, 1551
271502,4709, 1557
272002,4739, 1558
272502,4765, 1561
273002,4793, 1563
273502,4821, 1565
274002,4843, 1567
274502,4867, 1569
275002,4897, 1571
275502,4915, 1572
276002,4942, 1573
276502,4967, 1579
277002,4992, 1580
277502,5012, 1583
278002,5036, 1585
278502,5065, 1589
279002,5089, 1594
279502,5120, 1595
280002,5149, 1602
280502,5176, 1608
281002,5195, 1613
281502,5216, 1617
282002,5234, 1618
282502,5254, 1618
283002,5272, 1619
283502,5286, 1619
284002,5305, 1619
284502,5324, 1621
285002,5341, 1622
285502,5355, 1624
286002,5371, 1627
286502,5394, 1630
287002,5414, 1631
287502,5443, 1634
288002,5464, 1638
288502,5484, 1642
289002,5503, 1644
289502,5522, 1648
290002,5541, 1652
290502,5568, 1657
291002,5590, 1657
291502,5617, 1658
292002,5637, 1659
292502,5662, 1661
293002,5685, 1665
293502,5706, 1665
294002,5733, 1665
294502,5757, 1667
295002,5780, 1669
295502,5811, 1672
296002,5839, 1675
296502,5867, 1677
297002,5893, 1683
297502,5921, 1688
298002,5949, 1689
298502,5980, 1691
299002,6002, 1693
299502,6027, 1695
300002,6046, 1697
300502,6078, 1697
301002,6103, 1697
301502,6127, 1699
302002,6154, 1702
302502,6178, 1705
303002,6207, 1708
