step, arrivals_sum, infringement_sum, reward ,av arr,av inf
49502,0,3165,-182714.184657782,0,0.0639368106339138
50002,0,3166,-209494.57079649,0,0.063317467301308
50502,0,3166,-163947.787600771,0,0.0626905865114253
51002,0,3166,-188919.932705402,0,0.0620759970197247
51502,0,3166,-183053.681002796,0,0.0614733408411324
52002,0,3166,-176218.691150069,0,0.0608822737587016
52502,0,3166,-221023.117658406,0,0.0603024646680126
53002,0,3166,-208223.085517257,0,0.0597335949586808
53502,0,3166,-180721.769917458,0,0.0591753579305447
54002,0,3166,-176524.987350307,0,0.0586274582422873
54502,0,3166,-179107.333055332,0,0.0580896113904077
55002,0,3166,-198859.731541708,0,0.0575615432166103
55502,0,3166,-166145.121366456,0,0.0570429894418219
56002,0,3166,-156907.464600518,0,0.0565336952251705
56502,0,3166,-200798.376628965,0,0.0560334147463807
57002,0,3166,-187999.233803466,0,0.055541910810147
57502,0,3166,-158524.605743915,0,0.0550589544711488
58002,0,3166,-216875.145592406,0,0.0545843246784594
58502,0,3166,-165656.335980535,0,0.0541178079381901
59002,0,3166,-156346.629400954,0,0.0536591979932884
59502,0,3166,-152826.112973496,0,0.0532082955194783
60002,0,3166,-204906.249710351,0,0.0527649078364055
60502,0,3171,-274089.584423886,0,0.0524114905292387
61002,0,3171,-159458.100074306,0,0.0519819022327137
61502,0,3171,-147907.024982899,0,0.0515592988845891
62002,0,3171,-175997.714320049,0,0.051143511499629
62502,0,3171,-236440.165329479,0,0.050734376499952
63002,0,3171,-228860.087587118,0,0.0503317355004603
63502,0,3175,-265011.353237018,0,0.0499984252464489
64002,0,3175,-183946.823980331,0,0.0496078247554764
64502,0,3175,-178282.838166475,0,0.0492232798982977
65002,0,3176,-215355.901514515,0,0.0488600350758438
65502,0,3176,-167341.51514402,0,0.0484870690971268
66002,0,3181,-267221.182391107,0,0.0481955092269931
66502,0,3181,-154298.660665356,0,0.0478331478752519
67002,0,3181,-177679.600554109,0,0.0474761947404555
67502,0,3185,-262884.929288015,0,0.0471837871470475
