step, arrivals_sum, infringement_sum 
180002,1930, 1860
180502,1947, 1863
181002,1968, 1864
181502,1985, 1866
182002,1999, 1869
182502,2022, 1871
183002,2035, 1874
183502,2054, 1877
184002,2069, 1878
184502,2098, 1882
185002,2125, 1885
185502,2147, 1885
186002,2173, 1888
186502,2196, 1889
187002,2218, 1893
187502,2234, 1897
188002,2249, 1899
188502,2269, 1901
189002,2294, 1903
189502,2309, 1906
190002,2325, 1909
190502,2346, 1909
191002,2364, 1909
191502,2383, 1911
192002,2400, 1914
192502,2422, 1916
193002,2438, 1919
193502,2460, 1921
194002,2481, 1922
194502,2504, 1924
195002,2522, 1928
195502,2540, 1934
196002,2560, 1939
196502,2578, 1944
197002,2597, 1949
197502,2611, 1950
198002,2631, 1950
198502,2651, 1952
199002,2671, 1952
199502,2694, 1957
200002,2719, 1960
200502,2741, 1961
201002,2764, 1966
201502,2787, 1975
202002,2814, 1980
202502,2833, 1985
203002,2857, 1989
203502,2875, 1990
204002,2896, 1992
204502,2920, 1993
205002,2946, 1993
205502,2967, 1996
206002,2996, 1997
206502,3019, 2000
207002,3047, 2004
207502,3065, 2010
208002,3082, 2017
208502,3100, 2021
209002,3122, 2026
209502,3141, 2030
210002,3169, 2032
210502,3204, 2035
211002,3240, 2036
211502,3268, 2036
212002,3304, 2038
212502,3331, 2038
213002,3358, 2044
213502,3387, 2046
214002,3415, 2049
214502,3442, 2050
215002,3461, 2054
215502,3488, 2056
216002,3512, 2059
216502,3532, 2062
217002,3561, 2064
217502,3590, 2067
218002,3616, 2068
218502,3644, 2068
219002,3667, 2071
219502,3700, 2073
220002,3730, 2077
220502,3754, 2080
221002,3780, 2082
221502,3811, 2084
222002,3838, 2089
222502,3867, 2092
223002,3893, 2098
223502,3914, 2105
224002,3936, 2107
224502,3962, 2111
225002,3992, 2113
225502,4021, 2116
226002,4042, 2118
226502,4065, 2118
227002,4096, 2118
227502,4125, 2119
228002,4158, 2119
228502,4190, 2120
229002,4214, 2121
229502,4248, 2123
230002,4286, 2126
230502,4324, 2128
231002,4353, 2133
231502,4392, 2136
232002,4424, 2139
232502,4461, 2142
233002,4494, 2149
233502,4526, 2155
234002,4563, 2161
234502,4598, 2167
235002,4625, 2174
235502,4648, 2175
236002,4682, 2182
236502,4712, 2184
237002,4747, 2186
237502,4779, 2187
238002,4823, 2190
238502,4857, 2191
239002,4887, 2193
239502,4916, 2198
240002,4950, 2203
240502,4990, 2205
241002,5025, 2210
241502,5060, 2214
242002,5093, 2218
242502,5127, 2220
243002,5153, 2224
243502,5181, 2227
244002,5213, 2229
244502,5244, 2232
245002,5285, 2235
245502,5315, 2241
246002,5351, 2244
246502,5391, 2246
247002,5427, 2249
247502,5457, 2250
248002,5499, 2252
248502,5535, 2254
249002,5573, 2255
249502,5615, 2258
250002,5656, 2263
250502,5684, 2270
251002,5724, 2274
251502,5759, 2276
252002,5785, 2279
252502,5817, 2279
253002,5850, 2284
253502,5896, 2287
254002,5930, 2291
254502,5961, 2293
255002,6006, 2295
255502,6042, 2297
256002,6083, 2299
256502,6118, 2302
257002,6156, 2307
257502,6186, 2314
258002,6223, 2316
258502,6256, 2319
259002,6282, 2322
259502,6316, 2325
260002,6356, 2328
260502,6397, 2329
261002,6434, 2332
261502,6480, 2333
262002,6519, 2338
262502,6551, 2342
263002,6589, 2345
263502,6624, 2348
264002,6661, 2352
264502,6698, 2354
265002,6735, 2359
265502,6767, 2364
266002,6807, 2367
266502,6842, 2370
267002,6884, 2373
267502,6925, 2376
268002,6968, 2379
268502,7013, 2383
269002,7054, 2389
269502,7092, 2395
270002,7133, 2399
270502,7174, 2400
271002,7211, 2402
271502,7259, 2404
272002,7305, 2410
272502,7349, 2412
273002,7386, 2417
273502,7423, 2423
274002,7462, 2427
274502,7497, 2432
275002,7527, 2439
275502,7564, 2444
276002,7607, 2448
276502,7641, 2453
277002,7680, 2453
277502,7720, 2455
278002,7758, 2458
278502,7807, 2458
279002,7851, 2460
279502,7897, 2461
280002,7927, 2469
280502,7963, 2475
281002,8004, 2478
281502,8037, 2482
282002,8081, 2483
282502,8124, 2485
283002,8167, 2489
283502,8209, 2491
284002,8246, 2496
284502,8291, 2498
285002,8330, 2502
285502,8376, 2508
286002,8414, 2514
286502,8451, 2518
287002,8487, 2524
287502,8531, 2529
288002,8565, 2533
288502,8609, 2534
289002,8637, 2539
289502,8682, 2541
290002,8720, 2544
290502,8762, 2548
291002,8792, 2551
291502,8834, 2555
292002,8867, 2564
292502,8904, 2569
293002,8949, 2571
293502,8998, 2572
294002,9036, 2574
294502,9081, 2577
295002,9120, 2581
295502,9168, 2582
296002,9198, 2585
296502,9242, 2587
297002,9278, 2587
297502,9325, 2591
298002,9371, 2596
298502,9410, 2602
299002,9458, 2606
299502,9501, 2611
300002,9544, 2616
300502,9591, 2618
301002,9634, 2619
301502,9679, 2622
302002,9724, 2623
302502,9765, 2627
303002,9815, 2628
303502,9862, 2632
304002,9903, 2635
304502,9947, 2642
305002,9991, 2648
305502,10038, 2651
306002,10087, 2657
306502,10132, 2662
307002,10183, 2669
307502,10228, 2671
308002,10283, 2673
308502,10335, 2674
309002,10378, 2676
309502,10430, 2677
310002,10470, 2683
310502,10521, 2687
311002,10571, 2691
311502,10623, 2693
312002,10668, 2698
312502,10722, 2702
313002,10767, 2709
313502,10823, 2712
314002,10870, 2717
314502,10919, 2722
315002,10967, 2723
315502,11018, 2726
316002,11066, 2729
316502,11123, 2735
317002,11177, 2738
317502,11236, 2742
318002,11285, 2745
318502,11335, 2748
319002,11381, 2753
319502,11425, 2756
320002,11470, 2759
320502,11523, 2759
321002,11573, 2764
321502,11615, 2773
322002,11673, 2775
322502,11726, 2779
323002,11777, 2782
323502,11829, 2784
324002,11882, 2786
324502,11935, 2788
325002,11990, 2792
325502,12041, 2795
326002,12095, 2798
326502,12148, 2804
327002,12199, 2809
327502,12253, 2811
328002,12310, 2817
328502,12357, 2821
329002,12408, 2824
329502,12465, 2827
330002,12518, 2830
330502,12580, 2830
331002,12628, 2834
331502,12683, 2839
332002,12737, 2846
332502,12796, 2851
333002,12849, 2854
333502,12910, 2857
334002,12960, 2862
334502,13012, 2865
335002,13073, 2867
335502,13134, 2869
336002,13191, 2871
336502,13244, 2875
337002,13299, 2881
337502,13347, 2885
338002,13399, 2890
338502,13455, 2894
339002,13518, 2897
339502,13582, 2899
340002,13643, 2902
340502,13700, 2906
341002,13754, 2912
341502,13806, 2917
342002,13865, 2918
342502,13924, 2921
343002,13989, 2923
343502,14040, 2927
344002,14097, 2934
344502,14148, 2942
345002,14205, 2950
345502,14261, 2955
346002,14322, 2959
346502,14379, 2965
347002,14437, 2971
347502,14492, 2974
348002,14555, 2979
348502,14617, 2983
349002,14679, 2986
349502,14736, 2991
350002,14795, 2992
350502,14849, 2994
351002,14906, 2999
351502,14965, 3004
352002,15021, 3007
352502,15077, 3007
353002,15148, 3008
353502,15207, 3010
354002,15267, 3018
354502,15321, 3019
355002,15381, 3024
355502,15441, 3027
356002,15497, 3032
356502,15558, 3034
357002,15609, 3040
357502,15664, 3046
358002,15727, 3050
358502,15776, 3055
359002,15831, 3060
359502,15884, 3067
360002,15945, 3069
360502,15998, 3077
361002,16055, 3081
361502,16117, 3085
362002,16177, 3089
362502,16238, 3092
363002,16301, 3095
363502,16359, 3096
364002,16422, 3097
364502,16483, 3097
365002,16540, 3102
365502,16601, 3105
366002,16665, 3106
366502,16735, 3111
367002,16799, 3117
367502,16862, 3120
368002,16926, 3123
368502,16991, 3128
369002,17056, 3129
369502,17112, 3131
370002,17168, 3136
370502,17228, 3139
371002,17290, 3143
371502,17352, 3148
372002,17412, 3152
372502,17471, 3157
373002,17536, 3161
373502,17601, 3164
374002,17672, 3170
374502,17727, 3175
375002,17790, 3182
375502,17859, 3184
376002,17924, 3185
376502,17983, 3193
377002,18055, 3194
377502,18112, 3199
378002,18170, 3202
378502,18237, 3207
379002,18297, 3207
379502,18362, 3210
380002,18427, 3214
380502,18495, 3217
381002,18556, 3220
381502,18627, 3221
382002,18694, 3225
382502,18764, 3228
383002,18830, 3231
383502,18896, 3236
384002,18961, 3238
384502,19024, 3243
385002,19092, 3249
385502,19161, 3252
386002,19232, 3257
386502,19294, 3263
387002,19365, 3266
387502,19430, 3268
388002,19490, 3269
388502,19559, 3271
389002,19627, 3271
389502,19696, 3272
390002,19769, 3274
390502,19841, 3275
391002,19910, 3282
391502,19979, 3287
392002,20050, 3292
392502,20120, 3295
393002,20187, 3303
393502,20251, 3309
394002,20313, 3314
394502,20390, 3317
395002,20461, 3319
395502,20534, 3321
396002,20603, 3323
396502,20668, 3325
397002,20740, 3330
397502,20806, 3331
398002,20876, 3333
398502,20952, 3335
399002,21020, 3339
399502,21090, 3343
400002,21160, 3351
400502,21231, 3353
401002,21303, 3360
401502,21366, 3366
402002,21435, 3374
402502,21507, 3379
403002,21576, 3381
403502,21647, 3386
404002,21718, 3389
404502,21796, 3392
405002,21873, 3395
405502,21948, 3400
406002,22015, 3409
406502,22084, 3414
407002,22154, 3416
407502,22231, 3419
408002,22301, 3422
408502,22374, 3426
409002,22447, 3430
409502,22522, 3434
410002,22590, 3439
410502,22672, 3443
411002,22748, 3447
411502,22825, 3453
412002,22895, 3461
412502,22969, 3465
413002,23037, 3473
413502,23109, 3478
414002,23184, 3484
414502,23259, 3490
415002,23332, 3497
415502,23410, 3502
416002,23476, 3508
416502,23550, 3512
417002,23624, 3512
417502,23695, 3516
418002,23766, 3518
418502,23835, 3522
419002,23906, 3524
419502,23986, 3525
420002,24057, 3529
420502,24129, 3529
421002,24200, 3534
421502,24271, 3537
422002,24352, 3538
422502,24431, 3544
423002,24509, 3549
423502,24584, 3551
424002,24656, 3555
424502,24737, 3557
425002,24813, 3561
425502,24888, 3566
426002,24972, 3566
426502,25044, 3571
427002,25112, 3574
427502,25184, 3583
428002,25263, 3589
428502,25331, 3598
429002,25398, 3604
429502,25477, 3607
430002,25552, 3610
430502,25631, 3611
431002,25699, 3619
431502,25769, 3623
432002,25840, 3624
432502,25910, 3628
433002,25978, 3632
433502,26049, 3636
434002,26122, 3641
434502,26199, 3644
435002,26278, 3649
435502,26344, 3655
436002,26417, 3658
436502,26490, 3662
437002,26563, 3664
437502,26638, 3667
438002,26712, 3670
438502,26785, 3675
439002,26863, 3679
439502,26942, 3684
440002,27021, 3685
440502,27096, 3692
441002,27164, 3698
441502,27240, 3702
442002,27318, 3707
442502,27389, 3710
443002,27452, 3713
443502,27523, 3716
444002,27593, 3719
444502,27660, 3723
445002,27730, 3727
445502,27802, 3731
446002,27872, 3737
446502,27946, 3738
447002,28026, 3739
447502,28101, 3741
448002,28175, 3743
448502,28245, 3748
449002,28325, 3751
449502,28390, 3758
450002,28470, 3760
450502,28554, 3760
451002,28631, 3763
451502,28700, 3767
452002,28774, 3772
452502,28846, 3774
453002,28928, 3775
453502,29001, 3781
454002,29080, 3782
454502,29153, 3785
455002,29234, 3785
455502,29302, 3790
456002,29381, 3793
456502,29461, 3796
457002,29531, 3800
457502,29604, 3804
458002,29677, 3807
458502,29750, 3809
459002,29833, 3811
459502,29903, 3818
460002,29971, 3823
460502,30042, 3827
461002,30109, 3832
461502,30182, 3835
462002,30255, 3839
462502,30321, 3843
463002,30391, 3847
463502,30464, 3853
464002,30537, 3856
464502,30608, 3860
465002,30672, 3865
465502,30741, 3868
466002,30823, 3868
466502,30892, 3870
467002,30962, 3872
467502,31036, 3874
468002,31105, 3874
468502,31185, 3877
469002,31251, 3879
469502,31318, 3885
470002,31397, 3885
470502,31469, 3889
471002,31542, 3890
471502,31611, 3895
472002,31681, 3900
472502,31758, 3902
473002,31825, 3906
473502,31903, 3908
474002,31971, 3913
474502,32050, 3915
475002,32123, 3916
475502,32193, 3923
476002,32272, 3925
476502,32346, 3930
477002,32417, 3934
477502,32484, 3939
478002,32555, 3946
478502,32628, 3950
479002,32700, 3955
479502,32779, 3958
480002,32850, 3960
480502,32924, 3964
481002,32998, 3966
481502,33064, 3968
482002,33134, 3971
482502,33199, 3976
483002,33272, 3982
483502,33347, 3985
484002,33418, 3988
484502,33491, 3994
485002,33561, 3997
485502,33643, 3997
486002,33715, 4002
486502,33780, 4004
487002,33853, 4007
487502,33928, 4012
488002,33996, 4018
488502,34067, 4022
489002,34135, 4028
489502,34203, 4033
490002,34274, 4038
490502,34352, 4042
491002,34425, 4045
491502,34497, 4049
492002,34569, 4054
492502,34641, 4056
493002,34714, 4060
493502,34783, 4064
494002,34855, 4068
494502,34921, 4071
495002,34984, 4076
495502,35047, 4082
496002,35119, 4088
496502,35193, 4093
497002,35264, 4097
497502,35329, 4103
498002,35403, 4108
498502,35472, 4111
499002,35541, 4115
499502,35613, 4116
500002,35682, 4119
500502,35753, 4125
501002,35827, 4127
501502,35892, 4131
502002,35956, 4136
502502,36026, 4139
503002,36104, 4142
503502,36175, 4149
504002,36249, 4152
504502,36324, 4156
505002,36395, 4159
505502,36467, 4161
506002,36537, 4165
506502,36615, 4168
507002,36686, 4171
507502,36754, 4174
508002,36824, 4180
508502,36899, 4183
509002,36976, 4185
509502,37049, 4188
510002,37124, 4193
510502,37195, 4197
511002,37269, 4200
511502,37352, 4202
512002,37419, 4207
512502,37490, 4209
513002,37563, 4215
513502,37640, 4219
514002,37715, 4222
514502,37794, 4225
515002,37868, 4229
515502,37942, 4233
516002,38019, 4239
516502,38093, 4240
517002,38164, 4247
517502,38239, 4249
518002,38308, 4257
518502,38381, 4260
519002,38456, 4263
519502,38528, 4265
520002,38604, 4267
520502,38679, 4269
521002,38756, 4271
521502,38830, 4272
522002,38904, 4274
522502,38976, 4277
523002,39053, 4284
523502,39122, 4290
524002,39193, 4293
524502,39268, 4296
525002,39334, 4303
525502,39407, 4306
526002,39482, 4309
526502,39557, 4311
527002,39632, 4313
527502,39701, 4316
528002,39771, 4318
528502,39844, 4320
529002,39913, 4323
529502,39989, 4327
530002,40066, 4329
530502,40139, 4331
531002,40215, 4335
531502,40294, 4339
532002,40366, 4346
532502,40432, 4354
533002,40508, 4358
533502,40586, 4363
534002,40665, 4366
534502,40743, 4368
535002,40825, 4369
535502,40891, 4376
536002,40961, 4382
536502,41034, 4384
537002,41112, 4387
537502,41181, 4393
538002,41256, 4399
538502,41329, 4403
539002,41406, 4406
539502,41483, 4409
540002,41563, 4413
540502,41643, 4414
541002,41721, 4418
541502,41795, 4423
542002,41871, 4428
542502,41944, 4431
543002,42020, 4433
