step, arrivals_sum, infringement_sum 
179502,2356, 1412
180002,2368, 1413
180502,2382, 1414
181002,2397, 1414
181502,2413, 1414
182002,2428, 1415
182502,2440, 1416
183002,2464, 1417
183502,2476, 1419
184002,2491, 1420
184502,2511, 1420
185002,2526, 1421
185502,2539, 1424
186002,2555, 1426
186502,2575, 1429
187002,2594, 1431
187502,2606, 1437
188002,2616, 1439
188502,2629, 1440
189002,2638, 1442
189502,2655, 1447
190002,2673, 1448
190502,2684, 1450
191002,2702, 1451
191502,2710, 1451
192002,2720, 1452
192502,2738, 1455
193002,2748, 1458
193502,2762, 1459
194002,2779, 1459
194502,2793, 1460
195002,2807, 1462
195502,2818, 1463
196002,2830, 1464
196502,2844, 1468
197002,2859, 1472
197502,2871, 1472
198002,2884, 1475
198502,2895, 1477
199002,2917, 1480
199502,2936, 1483
200002,2946, 1486
200502,2959, 1489
201002,2977, 1492
201502,2990, 1501
202002,3001, 1505
202502,3012, 1507
203002,3028, 1513
203502,3047, 1515
204002,3058, 1515
204502,3072, 1516
205002,3085, 1518
205502,3094, 1519
206002,3102, 1519
206502,3117, 1519
207002,3127, 1524
207502,3147, 1529
208002,3163, 1530
208502,3173, 1530
209002,3186, 1534
209502,3201, 1535
210002,3219, 1536
210502,3232, 1536
211002,3243, 1538
211502,3256, 1541
212002,3279, 1544
212502,3294, 1546
213002,3311, 1550
213502,3329, 1556
214002,3339, 1557
214502,3356, 1557
215002,3368, 1560
215502,3384, 1561
216002,3398, 1562
216502,3414, 1564
217002,3427, 1565
217502,3442, 1566
218002,3459, 1568
218502,3473, 1570
219002,3490, 1572
219502,3510, 1573
220002,3527, 1575
220502,3542, 1582
221002,3553, 1585
221502,3568, 1589
222002,3578, 1591
222502,3593, 1596
223002,3606, 1597
223502,3620, 1598
224002,3632, 1599
224502,3649, 1602
225002,3662, 1602
225502,3670, 1603
226002,3684, 1603
226502,3697, 1605
227002,3709, 1608
227502,3714, 1613
228002,3721, 1614
228502,3729, 1615
229002,3741, 1616
229502,3758, 1617
230002,3773, 1618
230502,3787, 1618
231002,3797, 1619
231502,3817, 1619
232002,3829, 1619
232502,3844, 1624
233002,3866, 1625
233502,3879, 1627
234002,3895, 1631
234502,3911, 1634
235002,3924, 1635
235502,3938, 1635
236002,3954, 1639
236502,3971, 1643
237002,3986, 1645
237502,3997, 1645
238002,4010, 1648
238502,4024, 1650
239002,4039, 1652
239502,4053, 1653
240002,4064, 1658
240502,4085, 1660
241002,4101, 1663
241502,4117, 1664
242002,4128, 1664
242502,4140, 1667
243002,4157, 1670
243502,4168, 1675
244002,4180, 1683
244502,4192, 1685
245002,4202, 1687
245502,4211, 1688
246002,4227, 1689
246502,4236, 1690
247002,4251, 1690
247502,4263, 1690
248002,4272, 1691
248502,4286, 1693
249002,4299, 1694
249502,4311, 1697
250002,4324, 1697
250502,4341, 1701
251002,4359, 1702
251502,4373, 1710
252002,4391, 1712
252502,4406, 1716
253002,4424, 1717
253502,4438, 1718
254002,4456, 1718
254502,4461, 1719
255002,4474, 1719
255502,4495, 1719
256002,4512, 1720
256502,4528, 1721
257002,4547, 1725
257502,4562, 1728
258002,4579, 1730
258502,4598, 1733
259002,4615, 1736
259502,4638, 1739
260002,4656, 1740
260502,4665, 1740
261002,4680, 1741
261502,4695, 1743
262002,4712, 1745
262502,4726, 1748
263002,4744, 1748
263502,4764, 1749
264002,4781, 1749
264502,4799, 1752
265002,4820, 1753
265502,4833, 1753
266002,4850, 1755
266502,4866, 1757
267002,4882, 1760
267502,4904, 1764
268002,4922, 1767
268502,4943, 1770
269002,4963, 1771
269502,4984, 1772
270002,5000, 1773
270502,5015, 1774
271002,5032, 1774
271502,5047, 1775
272002,5061, 1775
272502,5073, 1779
273002,5089, 1779
273502,5104, 1779
274002,5120, 1781
274502,5133, 1782
275002,5146, 1784
275502,5161, 1788
276002,5177, 1791
276502,5190, 1793
277002,5202, 1796
277502,5229, 1800
278002,5247, 1801
278502,5253, 1805
279002,5271, 1805
279502,5291, 1806
280002,5308, 1806
280502,5327, 1808
281002,5348, 1810
281502,5361, 1814
282002,5376, 1816
282502,5399, 1817
283002,5414, 1818
283502,5430, 1818
284002,5450, 1821
284502,5464, 1822
285002,5478, 1827
285502,5497, 1827
286002,5517, 1828
286502,5539, 1828
287002,5567, 1830
287502,5586, 1833
288002,5606, 1833
288502,5625, 1835
289002,5639, 1836
289502,5657, 1836
290002,5676, 1839
290502,5688, 1843
291002,5706, 1847
291502,5722, 1848
292002,5736, 1850
292502,5756, 1851
293002,5782, 1852
293502,5806, 1853
294002,5827, 1854
294502,5842, 1857
295002,5868, 1857
295502,5888, 1858
296002,5911, 1858
296502,5935, 1859
297002,5954, 1859
297502,5973, 1862
298002,5992, 1864
298502,6015, 1864
299002,6032, 1868
299502,6058, 1870
300002,6082, 1871
300502,6102, 1874
301002,6126, 1878
301502,6138, 1880
302002,6157, 1882
302502,6173, 1883
303002,6190, 1884
303502,6212, 1885
304002,6234, 1887
304502,6253, 1889
305002,6279, 1890
305502,6304, 1893
306002,6326, 1894
306502,6344, 1901
307002,6368, 1903
307502,6393, 1905
308002,6413, 1908
308502,6439, 1910
309002,6461, 1910
309502,6488, 1911
310002,6510, 1914
310502,6528, 1915
311002,6550, 1916
311502,6578, 1918
312002,6602, 1920
312502,6624, 1922
313002,6643, 1923
313502,6668, 1926
314002,6680, 1927
