step, arrivals_sum, infringement_sum 
185002,1883, 1303
185502,1899, 1307
186002,1910, 1309
186502,1926, 1310
187002,1941, 1310
187502,1954, 1312
188002,1962, 1314
188502,1976, 1314
189002,1997, 1316
189502,2015, 1318
190002,2031, 1324
190502,2040, 1327
191002,2055, 1328
191502,2070, 1330
192002,2088, 1330
192502,2106, 1331
193002,2122, 1333
193502,2140, 1335
194002,2166, 1336
194502,2187, 1338
195002,2202, 1340
195502,2224, 1341
196002,2247, 1342
196502,2269, 1344
197002,2291, 1346
197502,2311, 1348
198002,2332, 1350
198502,2350, 1358
199002,2372, 1359
199502,2389, 1360
200002,2412, 1361
200502,2437, 1362
201002,2465, 1362
201502,2493, 1365
202002,2515, 1367
202502,2535, 1367
203002,2555, 1370
203502,2581, 1373
204002,2601, 1376
204502,2620, 1381
205002,2641, 1382
205502,2666, 1383
206002,2690, 1386
206502,2717, 1386
207002,2745, 1387
207502,2770, 1387
208002,2799, 1388
208502,2822, 1389
209002,2856, 1393
209502,2886, 1396
210002,2920, 1398
210502,2949, 1401
211002,2972, 1405
211502,2995, 1406
212002,3018, 1409
212502,3040, 1414
213002,3058, 1416
213502,3086, 1419
214002,3100, 1426
214502,3121, 1429
215002,3148, 1431
215502,3178, 1433
216002,3201, 1434
216502,3225, 1436
217002,3239, 1438
217502,3260, 1439
218002,3287, 1440
218502,3317, 1442
219002,3345, 1444
219502,3365, 1446
220002,3381, 1448
220502,3395, 1454
221002,3414, 1457
221502,3433, 1458
222002,3458, 1460
222502,3481, 1465
223002,3505, 1471
223502,3529, 1472
224002,3562, 1475
224502,3586, 1479
225002,3610, 1482
225502,3640, 1487
226002,3663, 1488
226502,3693, 1492
227002,3718, 1492
227502,3741, 1499
228002,3768, 1504
228502,3791, 1507
229002,3816, 1511
229502,3844, 1515
230002,3868, 1518
230502,3895, 1524
231002,3926, 1525
231502,3953, 1528
232002,3968, 1534
232502,3991, 1538
233002,4018, 1544
233502,4042, 1547
234002,4070, 1550
234502,4095, 1551
235002,4112, 1554
235502,4133, 1560
236002,4162, 1560
236502,4189, 1564
237002,4213, 1566
237502,4241, 1568
238002,4264, 1572
238502,4293, 1578
239002,4321, 1582
239502,4342, 1582
240002,4365, 1588
240502,4391, 1595
241002,4413, 1598
241502,4446, 1598
242002,4474, 1600
242502,4504, 1602
243002,4536, 1602
243502,4567, 1602
244002,4600, 1604
244502,4626, 1606
245002,4661, 1609
245502,4689, 1616
246002,4718, 1620
246502,4748, 1623
247002,4776, 1626
247502,4803, 1633
248002,4836, 1637
248502,4864, 1639
249002,4892, 1639
249502,4915, 1644
250002,4944, 1644
250502,4974, 1646
251002,5004, 1649
251502,5030, 1651
252002,5068, 1652
252502,5094, 1656
253002,5129, 1657
253502,5161, 1660
254002,5187, 1664
254502,5220, 1669
255002,5245, 1672
255502,5273, 1675
256002,5309, 1676
256502,5331, 1680
257002,5359, 1684
257502,5390, 1685
258002,5408, 1692
258502,5446, 1697
259002,5472, 1704
259502,5503, 1705
260002,5534, 1705
260502,5567, 1709
261002,5602, 1714
261502,5641, 1717
262002,5670, 1720
262502,5700, 1722
263002,5730, 1724
263502,5762, 1727
264002,5804, 1729
264502,5839, 1732
265002,5872, 1735
265502,5903, 1737
266002,5933, 1739
266502,5969, 1743
267002,6006, 1748
267502,6043, 1752
268002,6079, 1756
268502,6112, 1761
269002,6151, 1764
269502,6188, 1769
270002,6226, 1773
270502,6258, 1775
271002,6292, 1779
271502,6313, 1783
272002,6346, 1786
272502,6373, 1788
273002,6404, 1789
273502,6440, 1789
274002,6478, 1789
274502,6518, 1793
275002,6560, 1797
275502,6598, 1801
276002,6633, 1806
276502,6672, 1813
277002,6706, 1820
277502,6741, 1826
278002,6773, 1831
278502,6805, 1833
279002,6842, 1835
279502,6860, 1840
280002,6889, 1843
280502,6921, 1845
281002,6953, 1848
