step, arrivals_sum, infringement_sum 
190002,2750, 1105
190502,2781, 1105
191002,2808, 1106
191502,2838, 1108
192002,2869, 1109
192502,2901, 1110
193002,2927, 1111
193502,2953, 1112
194002,2980, 1113
194502,3006, 1114
195002,3028, 1118
195502,3064, 1118
196002,3095, 1121
196502,3123, 1121
197002,3155, 1122
197502,3187, 1122
198002,3208, 1124
198502,3230, 1125
199002,3253, 1128
199502,3290, 1129
200002,3320, 1132
200502,3353, 1136
201002,3384, 1137
201502,3417, 1140
202002,3451, 1149
202502,3488, 1150
203002,3515, 1151
203502,3546, 1152
204002,3571, 1156
204502,3601, 1157
205002,3640, 1158
205502,3673, 1162
206002,3711, 1163
206502,3745, 1164
207002,3777, 1166
207502,3814, 1166
208002,3845, 1169
208502,3880, 1171
209002,3910, 1172
209502,3938, 1176
210002,3965, 1176
210502,4001, 1177
211002,4029, 1181
211502,4071, 1181
212002,4103, 1183
212502,4144, 1183
213002,4181, 1185
213502,4206, 1187
214002,4233, 1189
214502,4270, 1189
215002,4309, 1192
215502,4341, 1193
216002,4374, 1194
216502,4408, 1196
217002,4444, 1198
217502,4478, 1201
218002,4515, 1203
218502,4558, 1204
219002,4602, 1204
219502,4639, 1205
220002,4677, 1208
220502,4713, 1213
221002,4751, 1214
221502,4786, 1215
222002,4824, 1217
222502,4867, 1219
223002,4900, 1221
223502,4941, 1225
224002,4983, 1228
224502,5022, 1232
225002,5059, 1234
225502,5100, 1235
226002,5139, 1237
226502,5174, 1237
227002,5210, 1239
227502,5255, 1240
228002,5291, 1240
228502,5336, 1240
229002,5385, 1245
229502,5431, 1248
230002,5470, 1248
230502,5517, 1251
231002,5562, 1255
231502,5602, 1259
232002,5641, 1262
232502,5687, 1264
233002,5737, 1269
233502,5776, 1272
234002,5821, 1274
234502,5869, 1275
235002,5918, 1279
235502,5954, 1280
236002,6000, 1281
236502,6043, 1283
237002,6089, 1285
237502,6139, 1286
238002,6185, 1291
238502,6230, 1294
239002,6283, 1296
239502,6329, 1298
240002,6378, 1299
240502,6421, 1301
241002,6468, 1305
241502,6516, 1306
242002,6561, 1309
242502,6610, 1313
243002,6655, 1314
243502,6707, 1319
244002,6751, 1323
244502,6798, 1326
245002,6836, 1327
245502,6883, 1329
246002,6932, 1329
246502,6980, 1331
