step, arrivals_sum, infringement_sum, reward 
66002,4, 1411, -149980.3586589098
66502,4, 1421, -146500.4648000002
67002,4, 1430, -155144.38042247295
67502,4, 1438, -155685.1391646862
68002,4, 1442, -149616.6353200674
68502,4, 1448, -150224.73403728008
69002,4, 1456, -177794.1764601469
69502,4, 1462, -174582.9836217165
70002,4, 1464, -162413.8943760395
70502,4, 1470, -167165.9763288498
71002,4, 1477, -142224.44888031483
71502,4, 1480, -143607.7072675228
72002,4, 1487, -144023.4924365282
72502,4, 1492, -142197.6057497859
73002,4, 1499, -148203.66998159885
73502,4, 1503, -155477.79954469204
74002,4, 1512, -167337.89029717445
74502,4, 1518, -161644.5556960106
75002,4, 1521, -158078.5679923296
75502,4, 1525, -139581.38084459305
76002,4, 1529, -146636.9040094614
76502,4, 1532, -146380.07107925415
77002,4, 1535, -143937.9494216442
77502,4, 1539, -150106.60323512554
78002,4, 1540, -138689.06477451324
78502,4, 1543, -131955.41485500336
79002,4, 1544, -136095.40420281887
79502,4, 1545, -130326.29714310169
80002,4, 1546, -136625.1460196972
80502,4, 1548, -132197.32506930828
81002,4, 1549, -124760.72891187668
81502,4, 1550, -117940.02089250088
82002,4, 1553, -117561.9568426609
82502,5, 1554, -111637.52793633938
83002,5, 1556, -121043.65166693926
83502,5, 1559, -125998.00468444824
84002,5, 1559, -124843.46498703957
84502,5, 1560, -113407.82153773308
85002,5, 1562, -121964.54215586185
85502,5, 1562, -112152.47955095768
86002,6, 1562, -104129.62489306927
86502,6, 1563, -116762.53414064646
87002,6, 1564, -116004.52323400974
87502,7, 1564, -107000.62065082788
88002,7, 1565, -107831.602263093
88502,7, 1567, -123872.02895104885
89002,7, 1567, -121157.56629359722
89502,7, 1567, -111518.23391145468
90002,7, 1568, -112039.77028012276
90502,7, 1568, -122586.46597158909
91002,7, 1568, -107907.7386302948
91502,8, 1569, -122417.67113351822
92002,8, 1569, -109640.43799459934
92502,8, 1569, -117940.25701189041
93002,8, 1570, -111384.34161186218
93502,8, 1571, -110402.51959568262
94002,8, 1572, -110824.57382488251
94502,8, 1572, -110936.02653253078
95002,8, 1572, -106647.29508054256
95502,9, 1572, -111352.91690003872
96002,10, 1572, -106163.9023258686
96502,11, 1573, -102875.04543602467
97002,12, 1573, -102584.48638248444
97502,13, 1573, -106137.79390209913
98002,13, 1573, -104152.0295253396
98502,15, 1573, -110133.842056036
99002,15, 1573, -104053.8781132698
99502,15, 1574, -108124.37882566452
100002,16, 1574, -98791.73670136929
100502,17, 1574, -101539.42179477215
101002,19, 1574, -97214.88090634346
101502,20, 1574, -99215.1607913971
102002,21, 1574, -91929.44445568323
102502,23, 1574, -101175.3625973463
103002,24, 1574, -95490.93686443567
103502,26, 1574, -92376.51067638397
104002,27, 1575, -95043.90681153536
104502,27, 1576, -108650.70541739464
105002,29, 1576, -97528.97076141834
105502,29, 1577, -105641.8886551261
106002,29, 1578, -95641.43287420273
106502,29, 1578, -98188.44226682186
107002,30, 1578, -96886.7714047432
107502,31, 1578, -90910.02825820446
108002,33, 1578, -89263.45187085867
108502,33, 1578, -99222.66871029139
109002,33, 1578, -85771.05893367529
109502,33, 1578, -96737.88217568398
110002,33, 1578, -92880.34399151802
110502,33, 1578, -98642.21293699741
111002,35, 1579, -94304.60707551241
111502,36, 1581, -97051.18780070543
112002,36, 1581, -86386.25716304779
112502,36, 1581, -92261.71623569727
113002,37, 1584, -102394.13614588976
113502,38, 1585, -96453.59515249729
114002,38, 1586, -95825.99719589949
114502,39, 1586, -97571.17354488373
115002,40, 1586, -100489.93381762505
115502,40, 1587, -94400.27373081446
116002,41, 1588, -93867.08552253246
116502,41, 1589, -87278.84700006247
117002,42, 1590, -96407.28625619411
117502,43, 1591, -92729.19374644756
118002,45, 1594, -94390.87446177006
118502,45, 1596, -88271.25652599335
119002,46, 1597, -85547.04454141855
119502,47, 1597, -86854.47351908684
120002,50, 1597, -81875.5206400156
120502,53, 1598, -88646.59391641617
121002,54, 1601, -101073.00863599777
121502,56, 1601, -84774.79992854595
122002,58, 1601, -80865.75752145052
122502,60, 1603, -92387.55931091309
123002,61, 1604, -85286.42232310772
123502,62, 1605, -82944.25534147024
124002,64, 1607, -87391.40321874619
124502,64, 1607, -83516.2515308857
125002,64, 1609, -100168.7112249136
