step, arrivals_sum, infringement_sum, reward ,arr,inf
19002,0,2493,-262906.744512245,0,0.131196716135144
19502,0,2572,-258724.057960451,0,0.131883909342632
20002,0,2687,-314687.503161386,0,0.134336566343366
20502,0,2801,-295023.827683687,0,0.136620817481221
21002,0,2847,-222795.366149411,0,0.135558518236358
21502,0,2967,-297262.399553359,0,0.137987163984746
22002,0,3057,-270441.954806641,0,0.138941914371421
22502,0,3132,-259163.79979087,0,0.139187627766421
23002,0,3223,-270044.001684219,0,0.140118250586905
23502,0,3264,-217155.405804467,0,0.138881797293847
24002,0,3396,-334219.879432373,0,0.14148820931589
24502,0,3497,-324364.113822471,0,0.142723043016897
25002,0,3620,-362815.309600979,0,0.144788416926646
25502,0,3676,-234017.742887095,0,0.144145557211199
26002,0,3727,-229721.214152545,0,0.143335128067072
26502,0,3868,-321286.414815068,0,0.145951248962342
27002,0,4001,-313617.253836401,0,0.148174209317828
27502,0,4131,-324154.160560876,0,0.150207257653989
28002,0,4266,-323806.199442774,0,0.152346260981358
28502,0,4386,-310829.424881876,0,0.153883937969265
29002,0,4447,-240078.625769585,0,0.153334252810151
29502,0,4537,-275632.76685746,0,0.153786183987526
30002,0,4563,-195761.105590358,0,0.152089860675955
30502,0,4630,-242018.058675304,0,0.151793325027867
31002,0,4668,-234915.310301781,0,0.150570930907683
31502,0,4679,-207070.356395751,0,0.148530252047489
32002,0,4686,-190715.548105657,0,0.146428348228236
32502,0,4703,-185999.838946879,0,0.144698787766907
33002,0,4712,-187002.602273807,0,0.142779225501485
33502,0,4721,-189609.103784449,0,0.140916960181482
34002,0,4735,-175693.013364777,0,0.139256514322687
34502,0,4756,-187087.547198847,0,0.137847081328619
35002,0,4759,-169677.041587144,0,0.135963659219473
35502,0,4776,-164400.647154257,0,0.134527632246071
36002,0,4793,-178706.942660898,0,0.13313149269485
36502,0,4799,-168320.162679225,0,0.131472248095995
37002,0,4799,-157692.663504481,0,0.12969569212475
37502,0,4806,-165295.421117142,0,0.128153165164525
38002,0,4808,-167260.640965879,0,0.126519656860165
38502,0,4813,-151993.493317306,0,0.125006493169186
39002,0,4845,-191302.85538356,0,0.124224398748782
39502,0,4865,-160871.613498807,0,0.123158321097666
40002,0,4896,-188871.165938392,0,0.122393880305985
40502,0,4905,-150882.590421766,0,0.121105130610834
41002,0,4924,-181359.572286204,0,0.120091702843764
41502,0,4946,-167206.718485132,0,0.119174979519059
42002,0,4964,-171047.916604817,0,0.118184848340555
42502,0,4985,-160189.679919913,0,0.117288598183615
43002,0,4994,-154935.494027674,0,0.116134133296126
43502,0,5005,-151059.321002483,0,0.115052181508896
44002,0,5007,-149664.801828831,0,0.113790282259897
44502,0,5013,-149391.488559673,0,0.112646622623702
45002,1,5028,-169276.055752426,2.2221234611795E-05,0.111728367628105
45502,1,5040,-157894.79865779,2.19770559535845E-05,0.110764362006066
46002,2,5053,-166992.772678971,4.34763705925829E-05,0.109843050302161
46502,2,5072,-159906.132514268,4.30089028428885E-05,0.109070577609565
47002,2,5083,-159156.780551165,4.25513807923067E-05,0.108144334283648
47502,2,5087,-135526.829802617,4.21034903793524E-05,0.107090227779883
48002,2,5089,-152081.672306692,4.16649306278905E-05,0.106016415982667
48502,2,5096,-155852.934433669,4.12354129726609E-05,0.10506783225434
49002,2,5100,-132283.322497763,4.08146606260969E-05,0.104077384596547
49502,2,5105,-138204.761037767,4.04024079835158E-05,0.103127146377924
50002,2,5113,-156507.988698095,3.99984000639974E-05,0.102255909763609
50502,2,5113,-153100.984077305,3.96023919844759E-05,0.101243515108313
51002,3,5118,-149089.325879298,5.88212226971491E-05,0.100349005921336
51502,3,5120,-139926.919799447,5.82501650421343E-05,0.0994136150052425
52002,3,5120,-131987.843906682,5.76900888427368E-05,0.0984577516249375
52502,3,5120,-128244.60847877,5.71406803550341E-05,0.0975200944725915
53002,3,5121,-146892.775144473,5.660163767405E-05,0.0966189955096034
53502,3,5125,-144617.476945296,5.6072670180554E-05,0.0957908115584464
54002,4,5125,-154400.614083976,7.40713306914559E-05,0.0949038924484279
54502,4,5130,-140898.6080602,7.33918021357014E-05,0.0941249862390371
55002,4,5140,-150493.431478456,7.27246281953383E-05,0.0934511472310098
