step, arrivals_sum, infringement_sum, reward 
50502,0, 439, -257015.6609286964
51002,0, 444, -270118.5674521923
51502,0, 448, -277391.1811311245
52002,0, 455, -257025.37629413605
52502,0, 461, -275427.2452185154
53002,0, 462, -253386.99203920364
53502,0, 466, -257647.77520394325
54002,0, 467, -260998.97440624237
54502,0, 471, -255033.4826722145
55002,0, 476, -266112.35020136833
55502,0, 485, -267865.4231982231
56002,0, 488, -238118.87510323524
56502,0, 490, -262518.3909122944
57002,0, 494, -250557.17010688782
57502,0, 495, -248650.9888381958
58002,0, 500, -244390.6709485054
58502,0, 503, -255827.98151040077
59002,0, 508, -252657.05271673203
59502,0, 510, -248485.22768115997
60002,0, 518, -257666.84807825089
60502,0, 523, -232193.95838189125
61002,0, 527, -268371.98849368095
61502,0, 531, -261674.6737151146
62002,0, 537, -265881.183259964
62502,0, 538, -256836.13204050064
63002,0, 544, -259866.08325648308
63502,0, 553, -256584.29125738144
64002,0, 553, -260818.7008085251
64502,0, 555, -252475.21286010742
65002,0, 562, -248100.09683656693
65502,0, 566, -256083.28618836403
66002,0, 573, -261188.40928459167
66502,0, 575, -244047.57495474815
67002,0, 575, -253922.3941590786
67502,0, 581, -264044.09593868256
68002,0, 582, -263158.2155556679
68502,0, 586, -253429.04223418236
69002,0, 591, -269672.73930072784
69502,0, 596, -257760.0720117092
70002,0, 598, -246343.39771294594
70502,0, 601, -257748.29987955093
71002,0, 605, -254423.15829348564
71502,0, 612, -269775.9035754204
72002,0, 617, -253435.5759460926
72502,0, 622, -249881.25097942352
73002,0, 628, -263546.29640460014
73502,0, 632, -270028.36248254776
74002,0, 638, -244919.43837594986
74502,0, 641, -246618.46572041512
75002,0, 647, -267083.71638059616
75502,0, 648, -267035.967625618
76002,0, 651, -241578.16723418236
76502,0, 654, -262466.9120955467
77002,0, 655, -275131.9098329544
77502,0, 656, -269691.29026055336
78002,0, 660, -247734.27800512314
78502,0, 663, -268755.7026360035
79002,0, 670, -254415.9868707657
79502,0, 677, -256064.65551495552
80002,0, 683, -243027.17891597748
80502,0, 688, -244847.9782063961
81002,0, 690, -249117.57390260696
81502,0, 692, -256822.63016319275
82002,0, 700, -267011.4495162964
82502,0, 704, -257721.5641925335
83002,0, 708, -269529.91384220123
83502,0, 709, -248199.24123883247
84002,0, 712, -247537.2575752735
84502,0, 719, -254197.9461734295
85002,0, 723, -251249.4981327057
85502,0, 731, -265196.3500313759
86002,0, 735, -258398.72286057472
86502,0, 739, -255779.08309149742
87002,0, 742, -244822.57076072693
87502,0, 746, -255461.43986582756
88002,0, 747, -248868.53848409653
88502,0, 750, -264998.26779580116
89002,0, 756, -260746.95748209953
89502,0, 760, -243820.11590743065
90002,0, 764, -271680.7965602875
90502,0, 768, -250719.7439470291
91002,0, 771, -247392.93539452553
91502,0, 773, -255901.39596939087
92002,0, 776, -255713.68077731133
92502,0, 783, -292338.8792963028
93002,0, 791, -283298.6689977646
93502,0, 796, -255940.95062232018
94002,0, 804, -263328.39337420464
94502,0, 811, -268560.8139705658
95002,0, 813, -265085.2411887646
95502,0, 815, -235841.0865278244
96002,0, 822, -279192.5483157635
96502,0, 826, -260914.0233745575
97002,0, 832, -268737.81613850594
97502,0, 833, -263656.54213023186
98002,0, 836, -264392.8011162281
98502,0, 841, -251191.1269454956
99002,0, 847, -258178.06525087357
99502,0, 849, -249321.05210018158
100002,0, 856, -265749.8746225834
100502,0, 859, -240979.27607488632
101002,0, 864, -242250.7578561306
101502,0, 866, -264744.1367506981
102002,0, 866, -260267.90952897072
102502,0, 870, -264410.2320551872
103002,0, 873, -267367.6585688591
103502,0, 879, -254496.58378767967
